# Fairway investor profiles, derived only from private-rounds.csv. One row per investor house.
#
# HOW TO READ THIS, AND THE ONE THING IT CANNOT TELL YOU. The source sheet has a single combined
# "Lead / Key Investors" column, so this file CANNOT SEPARATE A LEAD FROM A PARTICIPANT. Accel
# appearing in twelve rounds does not mean Accel led twelve rounds. Every count, range and
# preference below is "was named in", not "led". Splitting lead from participant needs a field
# the source does not carry, and inventing it would be worse than not having it.
#
# Everything except house_type is COMPUTED from the transactions. house_type is a classification
# of what kind of money this is, which is not in the data.
#
# cheque_* is the SIZE OF THE WHOLE ROUND, not this investor's cheque. Individual allocations are
# not disclosed in any of these sources. It says what size of round the house shows up in.
#
# multiple_* is the headline post-money / revenue multiple on the rounds the house appears in.
# rounds_with_ceiling_multiple counts how many of those rest on a "more than $X" revenue or
# valuation figure, where the true multiple is LOWER than printed. Where that count is most of the
# rounds, read the range as an upper bound.
#
# Vehicles of one house are merged and the raw strings kept in vehicles_seen (ICONIQ / ICONIQ
# Growth, NVIDIA / NVentures, Menlo / Menlo Anthology, SoftBank Group / Vision Fund 2). Separate
# franchises with separate mandates are NOT merged: GV, CapitalG and Google are three rows, and
# Sequoia China is its own row because it separated from Sequoia as HongShan in 2023.
#
# THIS FILE IS A COMPUTED VIEW. Every column except investor, house_type and vehicles_seen is
# recomputed from private-rounds.csv and private-companies-tags.csv. It is stored because it is
# what a person reads, not because it is a second source of truth. If the rounds change, this file
# is regenerated, never hand-edited. The only things that live HERE and nowhere else are the
# canonical name mapping (140 raw strings from the sheet collapse to 122 houses) and house_type.
#
# EXCLUDED FROM THIS FILE: "Sibos" in the GoCardless Feb-22 row. Sibos is SWIFT's annual banking
# conference, not an investor. Flagged to the operator for correction at source.
investor,house_type,rounds_in_set,companies_in_set,companies_backed,first_round,last_round,archetypes_backed,industries_backed,functions_backed,buyer_types_backed,revenue_models_backed,ai_stance_mix,stages_backed,cheque_min_musd,cheque_median_musd,cheque_max_musd,postmoney_min_musd,postmoney_median_musd,postmoney_max_musd,multiple_min_x,multiple_median_x,multiple_max_x,rounds_with_ceiling_multiple,vehicles_seen
Accel,Venture,12,12,1Password|Anysphere / Cursor|Celonis|Cyera|GoCardless|Miro|PayFit|Personio|Remote|Scale AI|Snyk|Vercel,Jan-22,Jun-25,"Business Applications(3)|Cybersecurity(3)|Data, AI & Developer Tools(3)|Cloud & Infrastructure(1)|Commerce & Payments Software(1)|Communications & Collaboration(1)",Horizontal(12),Engineering & Design(3)|HR & Workforce(3)|Security(3)|Data & Analytics(1)|Finance & Payments(1)|Operations(1),SMB(4)|DEV(3)|ENT_IT(3)|LOB(2),SEATS(7)|PLATFORM(2)|CONSUMPTION(1)|SERVICES_LED(1)|TAKE_RATE(1),AI_EMBEDDED(5)|AI_NEUTRAL(4)|AI_NATIVE(3),C(5)|E(3)|G(2)|D(1)|F(1),197,306,1000,1400,7100,17500,9.9,29.0,85.0,2,Accel
Coatue,Crossover / public-market,9,9,Cyera|Deel|Glean|Harvey|OpenAI|Ramp|Replit|Rippling|dbt Labs,Feb-22,Nov-25,"Data, AI & Developer Tools(3)|Business Applications(2)|Commerce & Payments Software(1)|Consumer & Prosumer Software(1)|Cybersecurity(1)|Vertical Software(1)",Horizontal(8)|Legal & Professional Services(1),Data & Analytics(3)|HR & Workforce(2)|Engineering & Design(1)|Finance & Payments(1)|Legal & Compliance(1)|Security(1),LOB(4)|ENT_IT(2)|CONSUMER(1)|DEV(1)|SMB(1),SEATS(6)|CONSUMPTION(1)|PLATFORM(1)|TAKE_RATE(1),AI_NATIVE(5)|AI_EMBEDDED(3)|AI_NEUTRAL(1),C(2)|E(2)|F(2)|D(1)|Growth(1)|Secondary(1),150,300,40000,1400,7200,300000,17.3,38.6,72.0,4,Coatue
ICONIQ Growth,Venture,8,7,1Password|ElevenLabs|FloQast|Miro|Sierra|Writer|dbt Labs,Jan-22,Sep-25,"Data, AI & Developer Tools(4)|Business Applications(1)|Communications & Collaboration(1)|Cybersecurity(1)|Marketing & Customer Engagement(1)",Horizontal(8),Marketing(2)|Customer Service(1)|Data & Analytics(1)|Engineering & Design(1)|Finance & Payments(1)|IT & Integration(1)|Security(1),LOB(3)|DEV(2)|ENT_IT(2)|SMB(1),SEATS(6)|CONSUMPTION(2),AI_NATIVE(4)|AI_EMBEDDED(2)|AI_NEUTRAL(2),C(4)|B(1)|D(1)|E(1)|Growth(1),100,211,620,750,3750,17500,16.0,44.5,100.0,2,ICONIQ|ICONIQ Growth
Sequoia Capital,Venture,8,8,Cyera|ElevenLabs|Glean|Harvey|Remote|Sierra|Vanta|dbt Labs,Feb-22,Sep-25,"Data, AI & Developer Tools(3)|Cybersecurity(2)|Business Applications(1)|Marketing & Customer Engagement(1)|Vertical Software(1)",Horizontal(7)|Legal & Professional Services(1),Data & Analytics(2)|Legal & Compliance(2)|Customer Service(1)|HR & Workforce(1)|IT & Integration(1)|Security(1),LOB(3)|DEV(2)|ENT_IT(2)|SMB(1),SEATS(4)|CONSUMPTION(2)|PLATFORM(2),AI_NATIVE(5)|AI_NEUTRAL(2)|AI_EMBEDDED(1),C(4)|D(1)|E(1)|F(1)|Growth(1),150,261,350,1400,3750,10000,24.5,41.6,100.0,2,Sequoia
Andreessen Horowitz,Venture,7,7,Anysphere / Cursor|Databricks|Deel|ElevenLabs|Replit|Wiz|dbt Labs,Feb-22,Oct-25,"Data, AI & Developer Tools(5)|Business Applications(1)|Cybersecurity(1)",Horizontal(7),Data & Analytics(2)|Engineering & Design(2)|HR & Workforce(1)|IT & Integration(1)|Security(1),DEV(3)|ENT_IT(2)|LOB(2),CONSUMPTION(3)|SEATS(3)|PLATFORM(1),AI_EMBEDDED(3)|AI_NATIVE(3)|AI_NEUTRAL(1),C(3)|E(2)|D(1)|I(1),180,300,1000,3000,9900,43000,17.3,26.9,42.0,2,a16z
SoftBank,Institutional / sovereign / PE,7,7,AlphaSense|Cato Networks|Contentsquare|OneTrust|OpenAI|Perplexity|Remote,Apr-22,Mar-25,"Business Applications(2)|Consumer & Prosumer Software(2)|Cybersecurity(1)|Data, AI & Developer Tools(1)|Marketing & Customer Engagement(1)",Horizontal(6)|Financial Services(1),Data & Analytics(4)|HR & Workforce(1)|Legal & Compliance(1)|Security(1),LOB(4)|CONSUMER(2)|ENT_IT(1),SEATS(4)|PLATFORM(3),AI_EMBEDDED(4)|AI_NATIVE(2)|AI_NEUTRAL(1),Growth(5)|C(1)|F(1),150,500,40000,3000,4500,300000,11.3,30.0,142.9,2,SoftBank|SoftBank Vision Fund 2
Lightspeed Venture Partners,Venture,6,6,1Password|Anthropic|Cato Networks|Personio|Ramp|Wiz,Jan-22,Nov-25,"Cybersecurity(3)|Business Applications(1)|Commerce & Payments Software(1)|Data, AI & Developer Tools(1)",Horizontal(6),Security(3)|Finance & Payments(1)|HR & Workforce(1)|IT & Integration(1),ENT_IT(2)|SMB(2)|DEV(1)|LOB(1),PLATFORM(2)|SEATS(2)|CONSUMPTION(1)|TAKE_RATE(1),AI_EMBEDDED(4)|AI_NATIVE(1)|AI_NEUTRAL(1),E(3)|C(1)|Growth(1)|Secondary(1),200,460,3500,3000,10250,61500,30.0,45.5,85.0,3,LightSpeed|Lightspeed
NVIDIA,Corporate / strategic,5,5,Cohere|Databricks|Lovable|Perplexity|Scale AI,Jun-23,Dec-25,"Data, AI & Developer Tools(4)|Consumer & Prosumer Software(1)",Horizontal(5),Data & Analytics(3)|Engineering & Design(1)|IT & Integration(1),ENT_IT(3)|CONSUMER(1)|PROSUMER(1),CONSUMPTION(2)|PLATFORM(1)|SEATS(1)|SERVICES_LED(1),AI_NATIVE(4)|AI_EMBEDDED(1),B(1)|C(1)|F(1)|Growth(1)|I(1),270,500,1000,2100,9000,43000,9.9,33.0,142.9,1,NVIDIA|NVentures
Salesforce Ventures,Corporate / strategic,5,5,Anthropic|Cohere|ElevenLabs|Lovable|Miro,Jan-22,Dec-25,"Data, AI & Developer Tools(4)|Communications & Collaboration(1)",Horizontal(5),IT & Integration(3)|Engineering & Design(2),DEV(2)|ENT_IT(1)|LOB(1)|PROSUMER(1),CONSUMPTION(3)|PLATFORM(1)|SEATS(1),AI_NATIVE(4)|AI_EMBEDDED(1),C(4)|B(1),180,330,450,2100,4000,17500,33.0,41.3,95.5,2,Salesforce Ventures
Thrive Capital,Crossover / public-market,5,5,Anysphere / Cursor|OpenAI|Ramp|Sierra|Wiz,May-24,Nov-25,"Commerce & Payments Software(1)|Consumer & Prosumer Software(1)|Cybersecurity(1)|Data, AI & Developer Tools(1)|Marketing & Customer Engagement(1)",Horizontal(5),Customer Service(1)|Data & Analytics(1)|Engineering & Design(1)|Finance & Payments(1)|Security(1),LOB(2)|CONSUMER(1)|DEV(1)|ENT_IT(1),SEATS(2)|CONSUMPTION(1)|PLATFORM(1)|TAKE_RATE(1),AI_NATIVE(3)|AI_EMBEDDED(2),Growth(2)|C(1)|E(1)|Secondary(1),300,900,40000,9900,12000,300000,19.8,34.3,100.0,2,Thrive
